venue,lat,lng
"Convene at 32 Old Slip",40.7036194044,-74.0075161302
"32 Old Slip",40.703635895,-74.0080153714
"Elevated Acre",40.703269265,-74.0087127686
"55 Water",40.7033862921,-74.0099893698
"Droidcon NYC",40.703736,-74.00775
"New York Water Taxi - Pier 11, Slip A",40.7033506,-74.0062665939
"East River Esplanade",40.7048471453,-74.0045928955
"NY Waterway Ferry - Wall St/Pier 11 Terminal",40.703252998,-74.0060949326
"Droga5 LLC",40.7044690853,-74.0059954449
"East River Ferry - Wall St/Pier 11 Terminal",40.7036682315,-74.0065233823
"EmblemHealth",40.7035953686,-74.0088933441
"Financial Square",40.7038836618,-74.0076481136
"Arup",40.704078597,-74.0085088729
"77 Water Street",40.7044619675,-74.0082678607
"Old Traditional Polish Cuisine",40.7041801927,-74.0078432194
"Robert Silman Associates",40.7035387412,-74.0072751167
"Citigroup",40.7051724768,-74.0075111389
"Old Slip Park",40.7041244953,-74.0086580708
"55 Water Cafeteria",40.7033769365,-74.0093294598
"Chase Bank",40.7038332878,-74.0092892913
"Andaz Wall Street Gym",40.7050219226,-74.0078489578
"Capco",40.7043301829,-74.0082563839
"Seastreak Ferry - Pier 11 Terminal",40.7035367791,-74.0066553664
"Vietnam Veterans Memorial Plaza",40.7026245387,-74.0098057429
"Di So's Italian Food Truck",40.7040082302,-74.0085777335
"Starbucks",40.70480591,-74.00706045
"Crystal & Company",40.7036457388,-74.0083768901
"East River Esplanade South Dog Run",40.7044555801,-74.0057831219
"NYC DOT",40.702850095,-74.0098631263
"Mannahatta Park",40.7047005637,-74.0068332579
"Duane Reade",40.704647879,-74.0078008175
"75 Wall Street Condominiums",40.7052345412,-74.0077858354
"S&P Global Market Intelligence",40.7034482018,-74.0097641945
"Shawarma House Indian Grill",40.7036909843,-74.008480181
"Citibank",40.7044294416,-74.006741443
"Hanover Square Park",40.7045185102,-74.0094040584
"Manon Cafe / Leonidas",40.7046478021,-74.0095303022
"Banh Mi Cart",40.7045068562,-74.0094671803
"New York's Best Halal Food",40.7040902703,-74.0079924178
"City of New York HHC",40.7035979063,-74.0087039778
"Helicopter Flight Services",40.7035638335,-74.0077227129
"Hudson River Trading LLC",40.7035880234,-74.0082506455
"Ferry House Cafe",40.7037634825,-74.006299583
"The Bloc",40.7036286467,-74.0076194216
"Luckyim Thai",40.7018434491,-74.0127207991
"The Foundation Center",40.7039307997,-74.0082563839
"All American Deli",40.703561,-74.010173
"US Census Bureau",40.7038749664,-74.0076997593
"Haru",40.7054309668,-74.0083539365
"Leonidas",40.70471708,-74.0095876857
